SBS,내게거짓말을해봐,40088,드라마,"월,화",21,55,23,5
SBS,내마음의크레파스,40027,시사교양,수,18,30,19,20
MBC,내마음이들리니,30081,드라마,주말,21,50,23,0
SBS,내사랑내곁에,40089,드라마,주말,20,40,21,50
SBS,내친구해치,40085,드라마,"월,화",16,0,16,30
MBC,넌내게반했어,30106,드라마,"수,목",21,55,23,5
SBS,네트워크현장고향이보인다,40011,시사교양,"월,화",14,10,15,10
KBS2,녹색충전토요일,20022,오락,토,6,0,7,0
SBS,놀라운대회스타킹,40012,오락,토,18,20,20,0
MBC,놀러와,30009,드라마,월,23,15,0,25
SBS,농비어천가,40013,시사교양,금,18,30,19,20
MBC,늘푸른인생,30010,시사교양,일,6,10,7,0
MBC,다문화희망프로젝트우리는한국인,30011,드라마,화,12,15,13,5
KBS2,다오배찌붐힐대소동,20107,드라마,"월,화,수,목,금",15,5,15,35
KBS2,다큐멘터리3일,20024,시사교양,일,22,25,23,20
KBS2,다큐시대,20093,시사교양,토,23,10,0,10
KBS2,닥터후,20025,드라마,월,0,30,1,20
SBS,달고나,40090,오락,금,21,55,23,5
KBS2,달의신나는우주여행,20094,드라마,"월,화",15,35,16,0
MBC,당신이국가대표입니다,30089,오락,월,18,50,19,45
SBS,당신이잠든사이,40091,드라마,"월,화,수,목,금",19,20,20,0
MBC,당신참예쁘다,30084,드라마,"월,화,수,목,금",7,50,8,30
KBS2,대국민토크쇼안녕하세요,20026,오락,월,23,15,0,25
KBS1,대중음악전문공연장개관기념한국대중음악날개를달다,10000,시사교양,토,14,50,16,0
MBC,댄싱위드더스타,30090,오락,금,21,55,23,5
SBS,도전1000곡,40015,오락,일,8,10,9,30
KBS1,도전골든벨,10040,시사교양,일,19,10,20,0
KBS1,독립영화관,10052,드라마,토,1,10,6,0
KBS1,동물의세계,10053,시사교양,"월,화,수,목,금",17,20,17,40
KBS1,동물의왕국,10054,시사교양,주말,17,10,18,0
KBS2,동안미녀,20095,드라마,"월,화",21,55,23,15
KBS2,두근두근달콤,20096,드라마,"월,화,수,목,금",9,20,10,0
MBC,디지털로여는지상파방송의미래,30000,시사교양,수,17,0,18,30
KBS2,딸기가좋아,20097,드라마,화,16,30,17,0
KBS1,러브인아시아,10055,시사교양,화,19,30,20,25
SBS,런닝맨,40016,오락,일,12,10,13,10
KBS2,로맨스타운,20098,드라마,"수,목",21,55,23,5
KBS2,리빙쇼당신의여섯시,20030,시사교양,"월,화,수,목",18,5,19,0
SBS,마법의별매지네이션,40018,드라마,목,16,0,16,30
KBS1,마법전사라이너,10105,드라마,토,13,30,14,0
MBC,매직테일즈,30011,드라마,수,16,30,17,0
KBS1,명작스캔들,20032,시사교양,화,23,40,0,25
KBS1,명화극장,10056,드라마,일,1,5,6,0
MBC,몽땅내사랑,30013,드라마,"월,화,수,목,금",19,45,20,15
KBS2,무무와푸푸,20090,드라마,수,16,30,17,0
KBS1,무엇이든물어보세요,10057,시사교양,"월,화,수,목,금",10,0,10,55
MBC,무한도전,30014,오락,토,18,20,19,55
SBS,문화가중계,40075,시사교양,화,12,30,13,30
MBC,문화사색,30015,시사교양,목,11,0,12,0
KBS2,문화탐험세계의유산,20108,시사교양,토,11,5,11,35
SBS,물은생명이다,40020,시사교양,금,16,30,17,0
KBS2,뮤직뱅크,20033,오락,금,18,0,19,35
KBS1,미디어비평,10099,시사교양,금,23,40,0,10
SBS,미소코리아,40021,시사교양,목,18,30,19,20
MBC,미스리플리,30091,드라마,"월,화",21,55,23,15
SBS,미쓰아줌마,40092,드라마,"월,화,수,목,금",8,40,9,20
KBS1,바른말고운말,10058,시사교양,매일,11,55,12,0
MBC,반짝반짝빛나는,30017,드라마,주말,20,40,21,50
MBC,방방곡곡해피트레인,30018,시사교양,수,11,0,12,0
KBS2,밴드서바이벌TOP밴드,20109,오락,토,22,10,23,10
KBS2,부루와숲속친구들,20099,드라마,월,16,30,17,0
MBC,불굴의며느리,30092,드라마,"월,화,수,목,금",20,15,20,55
MBC,불만제로,30021,시사교양,수,18,50,19,45
KBS1,비바K리그,10116,스포츠,화,0,35,6,0
KBS2,비타민,20034,오락,수,20,50,21,50
MBC,뽀뽀뽀아이조아,30022,시사교양,"월,화,수",16,0,16,30
KBS2,사랑을믿어요,20036,드라마,주말,19,55,21,5
KBS2,사랑의가족,20039,시사교양,"월,화,수,목,금",17,0,17,30
KBS1,사랑의리퀘스트,10061,시사교양,토,18,0,19,0
MBC,사소한도전60초,30093,오락,일,9,25,10,45
KBS1,산너머남촌에는,10062,드라마,일,9,0,10,0
KBS1,생로병사의비밀,10064,시사교양,토,20,0,21,0
MBC,생방송금요와이드,30094,오락,금,18,20,19,45
KBS2,생방송세계는지금,20106,시사교양,"월,화,수,목,금",20,20,20,50
KBS1,생방송심야토론,10100,시사교양,토,23,10,1,0
MBC,생방송오늘아침,30023,시사교양,"월,화,수,목,금",8,30,9,30
SBS,생방송투데이,40024,시사교양,"월,화,수,목,금",17,35,18,30
KBS2,생생정보통,20046,시사교양,"월,화,수,목,금",19,0,20,20
SBS,생활의달인,40025,시사교양,월,20,50,21,55
KBS2,생활의발견오감도,20100,시사교양,"월,화,수,목,금",9,0,9,20
KBS2,세대공감토요일,20049,오락,토,9,5,10,5
MBC,세바퀴,30024,오락,토,23,0,0,20
KBS1,세상사는이야기,10106,시사교양,금,19,30,20,25
SBS,세상에서가장아름다운여행,40028,시사교양,월,18,30,19,20
KBS1,세상은넓다,10068,시사교양,"월,화,수,목,금",17,40,18,0
MBC,세상의모든여행,30096,시사교양,일,0,20,1,15
MBC,섹션TV연예통신,30025,오락,일,16,10,17,20
MBC,쇼음악중심,30026,오락,토,15,45,17,0
SBS,순간포착세상에이런일이,40029,오락,목,20,50,21,55
MBC,슈퍼블로거,30105,시사교양,토,1,20,6,0
SBS,스타부부쇼자기야,40031,오락,목,23,15,0,45
SBS,스타주니어쇼붕어빵,40032,오락,토,17,5,18,20
KBS2,스펀지0,20052,오락,금,20,50,21,50
